1328, Belleville, Guelph, 26
3148, Guelph, Belleville, 23
2430, Toronto, Guelph, 27
1247, Guelph, Belleville, 22
2910, Toronto, Hamilton, 28
2493, Hamilton, Belleville, 14
637, Toronto, Guelph, 31
2362, Hamilton, Toronto, 25
4700, Guelph, Hamilton, 24
629, Toronto, Hamilton, 13
2769, Toronto, Hamilton, 34
2575, Toronto, Hamilton, 14
4713, Hamilton, Guelph, 13
1790, Guelph, Hamilton, 8
1156, Hamilton, Guelph, 11
3319, Hamilton, Belleville, 14
1389, Belleville, Hamilton, 14
1110, Toronto, Hamilton, 8
503, Belleville, Toronto, 22
179, Belleville, Toronto, 26
1689, Hamilton, Toronto, 26
861, Guelph, Hamilton, 26
4798, Belleville, Guelph, 22
118, Hamilton, Belleville, 8
3859, Hamilton, Belleville, 18
3078, Hamilton, Guelph, 25
1924, Guelph, Toronto, 35
1337, Hamilton, Toronto, 6
4792, Toronto, Guelph, 34
3495, Belleville, Toronto, 9
4267, Hamilton, Toronto, 29
1217, Guelph, Hamilton, 13
3951, Hamilton, Belleville, 24
3494, Belleville, Hamilton, 14
4432, Belleville, Guelph, 23
3349, Guelph, Belleville, 16
4226, Belleville, Toronto, 24
4140, Guelph, Toronto, 20
1859, Hamilton, Toronto, 35
4293, Guelph, Hamilton, 24
2806, Belleville, Hamilton, 13
2843, Guelph, Hamilton, 35
2311, Belleville, Hamilton, 8
750, Hamilton, Guelph, 7
4980, Guelph, Belleville, 27
3079, Hamilton, Belleville, 32
4124, Hamilton, Belleville, 35
989, Guelph, Belleville, 33
3398, Belleville, Toronto, 18
4605, Hamilton, Toronto, 29
103, Hamilton, Belleville, 24
130, Guelph, Toronto, 24
4968, Toronto, Guelph, 23
1800, Guelph, Toronto, 22
3046, Guelph, Toronto, 35
3344, Toronto, Guelph, 29
884, Toronto, Hamilton, 25
3856, Toronto, Hamilton, 22
904, Guelph, Toronto, 21
3800, Guelph, Hamilton, 27
439, Toronto, Hamilton, 8
1043, Belleville, Guelph, 19
1334, Belleville, Guelph, 1
477, Guelph, Hamilton, 9
2150, Belleville, Guelph, 16
788, Guelph, Toronto, 15
514, Belleville, Guelph, 25
299, Toronto, Guelph, 19
4978, Belleville, Guelph, 19
2588, Toronto, Belleville, 15
2914, Hamilton, Guelph, 4
3881, Hamilton, Toronto, 29
4736, Hamilton, Guelph, 14
3630, Hamilton, Guelph, 24
564, Guelph, Belleville, 19
1015, Toronto, Hamilton, 24
1090, Guelph, Hamilton, 14
866, Guelph, Belleville, 32
2958, Guelph, Hamilton, 11
839, Guelph, Hamilton, 3
4526, Toronto, Hamilton, 33
328, Hamilton, Guelph, 1
2517, Toronto, Guelph, 30
1227, Hamilton, Belleville, 20
876, Toronto, Hamilton, 16
3653, Toronto, Hamilton, 6
2039, Toronto, Belleville, 16
2117, Belleville, Guelph, 26
996, Toronto, Belleville, 10
1268, Toronto, Guelph, 19
1747, Toronto, Guelph, 35
1258, Hamilton, Belleville, 29
2462, Guelph, Toronto, 4
1059, Guelph, Toronto, 12
3968, Toronto, Hamilton, 14
280, Toronto, Guelph, 32
2116, Guelph, Hamilton, 11
4408, Toronto, Belleville, 33
236, Belleville, Hamilton, 4
2900, Hamilton, Toronto, 21
4471, Belleville, Hamilton, 22
2981, Toronto, Hamilton, 8
3159, Guelph, Belleville, 6
1044, Hamilton, Guelph, 25
862, Guelph, Belleville, 3
2549, Guelph, Belleville, 29
1877, Guelph, Toronto, 21
975, Toronto, Belleville, 3
4781, Hamilton, Belleville, 8
3092, Hamilton, Toronto, 26
886, Belleville, Toronto, 11
3594, Belleville, Toronto, 23
1802, Belleville, Hamilton, 13
2591, Guelph, Belleville, 16
2751, Guelph, Belleville, 20
4456, Belleville, Guelph, 3
3127, Belleville, Guelph, 8
685, Guelph, Toronto, 28
242, Toronto, Guelph, 2
719, Toronto, Guelph, 4
4882, Belleville, Toronto, 3
4063, Hamilton, Toronto, 7
3057, Guelph, Hamilton, 23
3056, Guelph, Toronto, 18
4742, Hamilton, Belleville, 15
1982, Guelph, Belleville, 7
2904, Belleville, Hamilton, 35
1641, Guelph, Belleville, 9
2507, Toronto, Guelph, 26
687, Toronto, Guelph, 5
1824, Belleville, Guelph, 33
4942, Belleville, Guelph, 28
2750, Toronto, Hamilton, 29
1565, Guelph, Hamilton, 25
1242, Toronto, Hamilton, 16
4485, Guelph, Hamilton, 2
940, Guelph, Toronto, 7
195, Belleville, Toronto, 4
3852, Belleville, Guelph, 17
